datetime,MPR,kWh,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,date,time
2023-02-04 00:00:00,1200030000000.0,13.25,6.0,5.3,95.0,,,268.0,11.1,18.5,1035.8,,2.0,2023-02-04,00:00:00
2023-02-04 01:00:00,1200030000000.0,12.675,5.8,5.1,95.0,,,267.0,11.1,18.5,1036.1,,2.0,2023-02-04,01:00:00
2023-02-04 02:00:00,1200030000000.0,12.725,5.7,5.1,96.0,,,265.0,11.1,18.5,1036.3,,2.0,2023-02-04,02:00:00
2023-02-04 03:00:00,1200030000000.0,12.325,5.6,4.9,95.0,,,267.0,9.3,18.5,1036.4,,3.0,2023-02-04,03:00:00
2023-02-04 04:00:00,1200030000000.0,12.975,5.5,4.8,95.0,,,266.0,9.3,18.5,1036.5,,3.0,2023-02-04,04:00:00
2023-02-04 05:00:00,1200030000000.0,12.475,5.5,4.6,94.0,,,261.0,9.3,18.5,1036.6,,3.0,2023-02-04,05:00:00
2023-02-04 06:00:00,1200030000000.0,12.375,5.6,4.7,94.0,,,261.0,9.3,18.5,1036.7,,4.0,2023-02-04,06:00:00
2023-02-04 07:00:00,1200030000000.0,14.5,5.7,5.0,95.0,,,253.0,9.3,18.5,1037.1,,4.0,2023-02-04,07:00:00
2023-02-04 08:00:00,1200030000000.0,12.275,6.2,5.3,94.0,,,248.0,9.3,18.5,1037.5,,4.0,2023-02-04,08:00:00
2023-02-04 09:00:00,1200030000000.0,10.375,6.6,5.5,93.0,,,250.0,9.3,18.5,1037.8,,4.0,2023-02-04,09:00:00
2023-02-04 10:00:00,1200030000000.0,7.275,7.2,6.1,93.0,,,264.0,7.4,16.7,1037.8,,3.0,2023-02-04,10:00:00
2023-02-04 11:00:00,1200030000000.0,7.199999999999999,8.0,6.5,90.0,,,270.0,9.3,16.7,1038.0,,4.0,2023-02-04,11:00:00
2023-02-04 12:00:00,1200030000000.0,10.175,8.8,6.4,85.0,,,268.0,9.3,18.5,1038.0,,3.0,2023-02-04,12:00:00
2023-02-04 13:00:00,1200030000000.0,10.125,9.3,6.4,82.0,,,272.0,11.1,18.5,1038.1,,3.0,2023-02-04,13:00:00
2023-02-04 14:00:00,1200030000000.0,12.75,9.4,5.9,79.0,,,269.0,11.1,20.4,1037.9,,3.0,2023-02-04,14:00:00
2023-02-04 15:00:00,1200030000000.0,13.475,9.3,5.7,78.0,,,270.0,13.0,22.2,1037.8,,3.0,2023-02-04,15:00:00
2023-02-04 16:00:00,1200030000000.0,14.350000000000001,8.7,5.3,79.0,,,271.0,9.3,18.5,1038.2,,4.0,2023-02-04,16:00:00
2023-02-04 17:00:00,1200030000000.0,14.8,7.8,4.9,82.0,,,266.0,9.3,18.5,1038.4,,4.0,2023-02-04,17:00:00
2023-02-04 18:00:00,1200030000000.0,12.975000000000001,7.1,4.7,85.0,,,257.0,9.3,18.5,1038.8,,4.0,2023-02-04,18:00:00
2023-02-04 19:00:00,1200030000000.0,12.7,6.8,4.8,87.0,,,253.0,9.3,18.5,1039.2,,4.0,2023-02-04,19:00:00
2023-02-04 20:00:00,1200030000000.0,12.875,6.6,4.8,88.0,,,251.0,11.1,18.5,1039.4,,4.0,2023-02-04,20:00:00
2023-02-04 21:00:00,1200030000000.0,12.95,6.6,4.8,88.0,,,256.0,11.1,18.5,1039.5,,4.0,2023-02-04,21:00:00
2023-02-04 22:00:00,1200030000000.0,12.875,6.2,4.8,91.0,,,254.0,9.3,18.5,1039.5,,4.0,2023-02-04,22:00:00
2023-02-04 23:00:00,1200030000000.0,12.775,6.3,4.9,91.0,,,259.0,9.3,20.4,1039.7,,4.0,2023-02-04,23:00:00
2023-02-05 00:00:00,1200030000000.0,12.65,6.2,5.0,92.0,,,274.0,11.1,20.4,1039.7,,4.0,2023-02-05,00:00:00
2023-02-05 01:00:00,1200030000000.0,12.325,6.0,5.0,93.0,,,289.0,13.0,22.2,1040.2,,4.0,2023-02-05,01:00:00
2023-02-05 02:00:00,1200030000000.0,12.425,5.7,4.5,92.0,,,308.0,13.0,24.1,1040.7,,4.0,2023-02-05,02:00:00
2023-02-05 03:00:00,1200030000000.0,12.375,5.2,3.7,90.0,,,322.0,14.8,25.9,1041.2,,4.0,2023-02-05,03:00:00
2023-02-05 04:00:00,1200030000000.0,12.350000000000001,4.7,3.0,89.0,,,318.0,14.8,25.9,1041.6,,3.0,2023-02-05,04:00:00
2023-02-05 05:00:00,1200030000000.0,12.425,4.1,2.4,89.0,,,332.0,14.8,25.9,1042.6,,2.0,2023-02-05,05:00:00
2023-02-05 06:00:00,1200030000000.0,12.25,3.6,1.6,87.0,,,342.0,14.8,25.9,1043.8,,3.0,2023-02-05,06:00:00
2023-02-05 07:00:00,1200030000000.0,12.025,3.3,1.2,86.0,,,346.0,14.8,25.9,1044.7,,3.0,2023-02-05,07:00:00
2023-02-05 08:00:00,1200030000000.0,8.575,3.0,0.7,85.0,,,351.0,13.0,24.1,1045.2,,3.0,2023-02-05,08:00:00
2023-02-05 09:00:00,1200030000000.0,2.5500000000000003,3.3,0.9,84.0,,,354.0,11.1,22.2,1045.5,,3.0,2023-02-05,09:00:00
2023-02-05 10:00:00,1200030000000.0,0.0,4.1,2.0,86.0,,,359.0,13.0,24.1,1046.5,,3.0,2023-02-05,10:00:00
2023-02-05 11:00:00,1200030000000.0,0.0,4.9,2.3,83.0,,,2.0,14.8,25.9,1046.5,,3.0,2023-02-05,11:00:00
2023-02-05 12:00:00,1200030000000.0,0.0,5.8,2.1,77.0,,,4.0,14.8,25.9,1046.3,,3.0,2023-02-05,12:00:00
2023-02-05 13:00:00,1200030000000.0,0.0,6.6,2.1,73.0,,,7.0,14.8,25.9,1045.8,,3.0,2023-02-05,13:00:00
2023-02-05 14:00:00,1200030000000.0,1.0,6.8,2.1,72.0,,,9.0,13.0,24.1,1045.4,,2.0,2023-02-05,14:00:00
2023-02-05 15:00:00,1200030000000.0,3.5749999999999997,6.7,2.0,72.0,,,14.0,13.0,24.1,1045.2,,2.0,2023-02-05,15:00:00
2023-02-05 16:00:00,1200030000000.0,11.2,6.3,1.4,71.0,,,11.0,9.3,18.5,1045.2,,2.0,2023-02-05,16:00:00
2023-02-05 17:00:00,1200030000000.0,13.425,4.8,1.6,80.0,,,5.0,9.3,16.7,1045.4,,3.0,2023-02-05,17:00:00
2023-02-05 18:00:00,1200030000000.0,14.8,4.0,1.4,83.0,,,1.0,7.4,14.8,1045.5,,3.0,2023-02-05,18:00:00
2023-02-05 19:00:00,1200030000000.0,14.7,3.0,1.0,87.0,,,2.0,7.4,14.8,1045.7,,3.0,2023-02-05,19:00:00
2023-02-05 20:00:00,1200030000000.0,14.775,2.2,0.7,90.0,,,358.0,5.5,14.8,1045.6,,3.0,2023-02-05,20:00:00
2023-02-05 21:00:00,1200030000000.0,14.825,1.8,0.3,90.0,,,2.0,7.4,14.8,1045.6,,2.0,2023-02-05,21:00:00
2023-02-05 22:00:00,1200030000000.0,13.3,2.4,0.5,87.0,,,18.0,1.8,9.3,1045.6,,3.0,2023-02-05,22:00:00
2023-02-05 23:00:00,1200030000000.0,12.625,2.0,0.2,88.0,,,15.0,5.5,13.0,1045.4,,3.0,2023-02-05,23:00:00
