Date (UTC),1200061435370 (kWh),Type,1200061695248 (kWh),Type
21/02/2022 00:00,0,Actual,0,Actual
21/02/2022 00:30,0,Actual,0,Actual
21/02/2022 01:00,0,Actual,0,Actual
21/02/2022 01:30,0,Actual,0,Actual
21/02/2022 02:00,0,Actual,0,Actual
21/02/2022 02:30,0,Actual,0,Actual
21/02/2022 03:00,0,Actual,0,Actual
21/02/2022 03:30,0,Actual,0,Actual
21/02/2022 04:00,0,Actual,0,Actual
21/02/2022 04:30,0,Actual,0,Actual
21/02/2022 05:00,0,Actual,0,Actual
21/02/2022 05:30,0,Actual,0,Actual
21/02/2022 06:00,0,Actual,0,Actual
21/02/2022 06:30,0,Actual,0,Actual
21/02/2022 07:00,0,Actual,0,Actual
21/02/2022 07:30,0,Actual,0,Actual
21/02/2022 08:00,0,Actual,0,Actual
21/02/2022 08:30,1.3,Actual,0,Actual
21/02/2022 09:00,3.5,Actual,0,Actual
21/02/2022 09:30,3.6,Actual,0,Actual
21/02/2022 10:00,1.5,Actual,0,Actual
21/02/2022 10:30,3.6,Actual,0,Actual
21/02/2022 11:00,1.6,Actual,0,Actual
21/02/2022 11:30,8.4,Actual,0,Actual
21/02/2022 12:00,5,Actual,0,Actual
21/02/2022 12:30,18.4,Actual,0,Actual
21/02/2022 13:00,8.7,Actual,0,Actual
21/02/2022 13:30,0.9,Actual,0,Actual
21/02/2022 14:00,14,Actual,0,Actual
21/02/2022 14:30,6.2,Actual,0,Actual
21/02/2022 15:00,0,Actual,0,Actual
21/02/2022 15:30,0,Actual,0,Actual
21/02/2022 16:00,0,Actual,0,Actual
21/02/2022 16:30,0,Actual,0,Actual
21/02/2022 17:00,0,Actual,0,Actual
21/02/2022 17:30,0,Actual,0,Actual
21/02/2022 18:00,0,Actual,0,Actual
21/02/2022 18:30,0,Actual,0,Actual
21/02/2022 19:00,0,Actual,0,Actual
21/02/2022 19:30,0,Actual,0,Actual
21/02/2022 20:00,0,Actual,0,Actual
21/02/2022 20:30,0,Actual,0,Actual
21/02/2022 21:00,0,Actual,0,Actual
21/02/2022 21:30,0,Actual,0,Actual
21/02/2022 22:00,0,Actual,0,Actual
21/02/2022 22:30,0,Actual,0,Actual
21/02/2022 23:00,0,Actual,0,Actual
21/02/2022 23:30,0,Actual,0,Actual
22/02/2022 00:00,0,Actual,0,Actual
22/02/2022 00:30,0,Actual,0,Actual
22/02/2022 01:00,0,Actual,0,Actual
22/02/2022 01:30,0,Actual,0,Actual
22/02/2022 02:00,0,Actual,0,Actual
22/02/2022 02:30,0,Actual,0,Actual
22/02/2022 03:00,0,Actual,0,Actual
22/02/2022 03:30,0,Actual,0,Actual
22/02/2022 04:00,0,Actual,0,Actual
22/02/2022 04:30,0,Actual,0,Actual
22/02/2022 05:00,0,Actual,0,Actual
22/02/2022 05:30,0,Actual,0,Actual
22/02/2022 06:00,0,Actual,0,Actual
22/02/2022 06:30,0,Actual,0,Actual
22/02/2022 07:00,0,Actual,0,Actual
22/02/2022 07:30,0,Actual,0,Actual
22/02/2022 08:00,0,Actual,0,Actual
22/02/2022 08:30,0,Actual,0,Actual
22/02/2022 09:00,0,Actual,0,Actual
22/02/2022 09:30,0,Actual,0,Actual
22/02/2022 10:00,4.8,Actual,0,Actual
22/02/2022 10:30,31.6,Actual,0,Actual
22/02/2022 11:00,18.8,Actual,0,Actual
22/02/2022 11:30,0.5,Actual,0,Actual
22/02/2022 12:00,0,Actual,0,Actual
22/02/2022 12:30,0,Actual,0,Actual
22/02/2022 13:00,0.2,Actual,0,Actual
22/02/2022 13:30,0.6,Actual,0,Actual
22/02/2022 14:00,28.7,Actual,0,Actual
22/02/2022 14:30,7.4,Actual,0,Actual
22/02/2022 15:00,1,Actual,0,Actual
22/02/2022 15:30,0,Actual,0,Actual
22/02/2022 16:00,0,Actual,0,Actual
22/02/2022 16:30,0,Actual,0,Actual
22/02/2022 17:00,0,Actual,0,Actual
22/02/2022 17:30,0,Actual,0,Actual
22/02/2022 18:00,0,Actual,0,Actual
22/02/2022 18:30,0,Actual,0,Actual
22/02/2022 19:00,0,Actual,0,Actual
22/02/2022 19:30,0,Actual,0,Actual
22/02/2022 20:00,0,Actual,0,Actual
